task_id,score,success,C1_latency_p95,C2_tokens_total,C3_cost_total,C4_tool_calls_total,D1_tool_error_rate,D2_agent_to_agent_communication_count,D2_communication_count,D2_system_mediated_communication_count,D3_handoff_count,P1_steps_total,P2_backtrack_rate,P3_loop_score,P4_verification_density,Q1_success_rate,Q2_completion_rate,R1_success_var,R2_latency_var,R3_tokens_var,accuracy,communication_count,cost_per_success,eval_avg_score,handoff_count,latency_e2e,pass_at_1,pass_at_3,pass_at_5,pass_at_8,stability,stage_act_events,stage_act_latency_ms,stage_act_tokens,stage_act_tool_errors,stage_act_verify_density,stage_finalize_events,stage_finalize_latency_ms,stage_finalize_tokens,stage_finalize_tool_errors,stage_finalize_verify_density,stage_plan_events,stage_plan_latency_ms,stage_plan_tokens,stage_plan_tool_errors,stage_plan_verify_density,stage_retrieve_events,stage_retrieve_latency_ms,stage_retrieve_tokens,stage_retrieve_tool_errors,stage_retrieve_verify_density,stage_revise_events,stage_revise_latency_ms,stage_revise_tokens,stage_revise_tool_errors,stage_revise_verify_density,stage_verify_events,stage_verify_latency_ms,stage_verify_tokens,stage_verify_tool_errors,stage_verify_verify_density,success_rate,token_total,tokens_cv,tokens_total,tool_calls_total,tool_error_rate,benchmark,system_label,topology,best_workflow
769,0.0,False,99081.34929938657,20041.333333333332,0.0,36.0,0.0,0.0,0.0,0.0,3.0,76.0,0.0,0.0,0.0,0.0,1.0,0.0,323189885.58265454,19305859.555555556,0.0,0.0,nan,0.0,3.0,79607.17153549194,0.0,0.0,nan,nan,1.0,4.0,79607.01207098707,20041.333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.07200000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20041.333333333332,0.2192390743871165,20041.333333333332,36.0,0.0,browsecomp,aflow,aflow,ensemble
770,0.0,False,69951.61256850933,16282.666666666666,0.0,18.0,0.0,0.0,0.0,0.0,3.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,2855876.9162877947,1908.222222222222,0.0,0.0,nan,0.0,3.0,68283.38575363159,0.0,0.0,nan,nan,1.0,4.0,68283.28205266735,16282.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.036000000000000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16282.666666666666,0.0026828039822982845,16282.666666666666,18.0,0.0,browsecomp,aflow,aflow,ensemble
771,0.0,False,123922.99202169933,17164.0,0.0,16.666666666666668,0.0,0.0,0.0,0.0,3.0,37.333333333333336,0.0,0.0,0.0,0.0,1.0,0.0,210082087.07468855,3100988.6666666665,0.0,0.0,nan,0.0,3.0,106475.33671061198,0.0,0.0,nan,nan,1.0,4.0,106475.22870899411,17164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.033333333333333354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17164.0,0.10259627279484244,17164.0,16.666666666666668,0.0,browsecomp,aflow,aflow,ensemble
772,0.6666666666666666,True,99192.3038929049,16915.0,0.0,17.666666666666668,0.0,0.0,0.0,0.0,3.0,39.333333333333336,0.0,0.0,0.0,0.6666666666666666,1.0,0.22222222222222224,303835498.8794985,2181192.0,0.6666666666666666,0.0,25372.5,0.6666666666666666,3.0,86243.19903055827,0.6666666666666667,1.0,nan,nan,0.11111111111111105,4.0,86243.09277699892,16915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.333333333333336,0.035333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,16915.0,0.0873122029555991,16915.0,17.666666666666668,0.0,browsecomp,aflow,aflow,ensemble
773,0.0,False,148952.15893650893,11259.666666666666,0.0,12.0,0.0,0.0,0.0,0.0,3.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,490609972.1639629,652654.8888888889,0.0,0.0,nan,0.0,3.0,122427.41759618123,0.0,0.0,nan,nan,1.0,4.0,122427.32250033684,11259.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.02400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11259.666666666666,0.07174906798868677,11259.666666666666,12.0,0.0,browsecomp,aflow,aflow,ensemble
774,0.0,False,259235.28161111104,18273.666666666668,0.0,19.333333333333332,0.0,0.0,0.0,0.0,3.0,42.666666666666664,0.0,0.0,0.0,0.0,1.0,0.0,800772129.3533865,181566.8888888889,0.0,0.0,nan,0.0,3.0,227466.41405423483,0.0,0.0,nan,nan,1.0,4.0,227466.2794190032,18273.666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.666666666666664,0.03866666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18273.666666666668,0.02331807138210723,18273.666666666668,19.333333333333332,0.0,browsecomp,aflow,aflow,ensemble
775,0.0,False,121862.3746746162,16915.0,0.0,16.666666666666668,0.0,0.0,0.0,0.0,3.0,37.333333333333336,0.0,0.0,0.0,0.0,1.0,0.0,948943395.9172643,4397238.0,0.0,0.0,nan,0.0,3.0,88332.80118306477,0.0,0.0,nan,nan,1.0,4.0,88332.69195600103,16915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.033333333333333354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16915.0,0.12397039474262063,16915.0,16.666666666666668,0.0,browsecomp,aflow,aflow,ensemble
776,0.0,False,336471.32381940744,16802.666666666668,0.0,19.333333333333332,0.0,0.0,0.0,0.0,3.0,42.666666666666664,0.0,0.0,0.0,0.0,1.0,0.0,5785018244.707291,860288.8888888889,0.0,0.0,nan,0.0,3.0,245269.18800671896,0.0,0.0,nan,nan,1.0,4.0,245269.08300934397,16802.666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.666666666666664,0.03866666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16802.666666666668,0.05520061864712701,16802.666666666668,19.333333333333332,0.0,browsecomp,aflow,aflow,ensemble
778,0.0,False,154955.11765758073,16294.333333333334,0.0,18.0,0.0,0.0,0.0,0.0,3.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,794511618.1523167,108148.2222222222,0.0,0.0,nan,0.0,3.0,120990.19885063171,0.0,0.0,nan,nan,1.0,4.0,120990.08048399021,16294.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.036000000000000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16294.333333333334,0.020182413320211128,16294.333333333334,18.0,0.0,browsecomp,aflow,aflow,ensemble
781,0.0,False,86136.8761635088,17914.0,0.0,16.666666666666668,0.0,0.0,0.0,0.0,3.0,37.333333333333336,0.0,0.0,0.0,0.0,1.0,0.0,20530739.370458793,2415828.6666666665,0.0,0.0,nan,0.0,3.0,80710.05813280742,0.0,0.0,nan,nan,1.0,4.0,80709.94603234188,17914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.033333333333333354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17914.0,0.08676418572368585,17914.0,16.666666666666668,0.0,browsecomp,aflow,aflow,ensemble
