task_id,score,success,C1_latency_p95,C2_tokens_total,C3_cost_total,C4_tool_calls_total,D1_tool_error_rate,D2_agent_to_agent_communication_count,D2_communication_count,D2_system_mediated_communication_count,D3_handoff_count,P1_steps_total,P2_backtrack_rate,P3_loop_score,P4_verification_density,Q1_success_rate,Q2_completion_rate,R1_success_var,R2_latency_var,R3_tokens_var,accuracy,communication_count,cost_per_success,eval_avg_score,handoff_count,latency_e2e,pass_at_1,pass_at_3,pass_at_5,pass_at_8,stability,stage_act_events,stage_act_latency_ms,stage_act_tokens,stage_act_tool_errors,stage_act_verify_density,stage_finalize_events,stage_finalize_latency_ms,stage_finalize_tokens,stage_finalize_tool_errors,stage_finalize_verify_density,stage_plan_events,stage_plan_latency_ms,stage_plan_tokens,stage_plan_tool_errors,stage_plan_verify_density,stage_retrieve_events,stage_retrieve_latency_ms,stage_retrieve_tokens,stage_retrieve_tool_errors,stage_retrieve_verify_density,stage_revise_events,stage_revise_latency_ms,stage_revise_tokens,stage_revise_tool_errors,stage_revise_verify_density,stage_verify_events,stage_verify_latency_ms,stage_verify_tokens,stage_verify_tool_errors,stage_verify_verify_density,success_rate,token_total,tokens_cv,tokens_total,tool_calls_total,tool_error_rate,benchmark,system_label,topology,system_root,agent_to_agent_communication_count,system_mediated_communication_count
769,0.0,False,108625.88502109252,33535.666666666664,0.0,58.333333333333336,0.0,0.0,0.0,0.0,5.666666666666667,123.33333333333331,0.0,0.0,0.0,0.0,1.0,0.0,1067720106.4706068,119047666.8888889,0.0,0.0,,0.0,5.666666666666667,79985.17942428589,0.0,0.0,,,1.0,6.666666666666667,79984.64642165952,33535.666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666669,0.1166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33535.666666666664,0.3253520143974615,33535.666666666664,58.333333333333336,0.0,browsecomp,dylan,dylan,/home/lai/github/MAS_Analyzer_dylan/outputs_dylan_reproduce/dylan_gemma_30x3_T1_20260621/analysis_input/browsecomp/dylan,0.0,0.0
770,0.0,False,90539.71878139612,24985.0,0.0,23.33333333333333,0.0,0.0,0.0,0.0,7.0,54.66666666666666,0.0,0.0,0.0,0.0,1.0,0.0,475636439.2533993,2711006.0,0.0,0.0,,0.0,7.0,70746.71649932861,0.0,0.0,,,1.0,8.0,70746.40940966492,24985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666666666666,0.0466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24985.0,0.0659000714710452,24985.0,23.33333333333333,0.0,browsecomp,dylan,dylan,/home/lai/github/MAS_Analyzer_dylan/outputs_dylan_reproduce/dylan_gemma_30x3_T1_20260621/analysis_input/browsecomp/dylan,0.0,0.0
771,0.0,False,212602.8263282,27096.666666666668,0.0,18.0,0.0,0.0,0.0,0.0,9.0,46.0,0.0,0.0,0.0,0.0,1.0,0.0,837229206.89265,320166.88888888893,0.0,0.0,,0.0,9.0,177641.6963736216,0.0,0.0,,,1.0,10.0,177640.92227133247,27096.666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27096.666666666668,0.0208820119099347,27096.666666666668,18.0,0.0,browsecomp,dylan,dylan,/home/lai/github/MAS_Analyzer_dylan/outputs_dylan_reproduce/dylan_gemma_30x3_T1_20260621/analysis_input/browsecomp/dylan,0.0,0.0
772,0.0,False,155933.90965269657,27010.33333333333,0.0,23.0,0.0,0.0,0.0,0.0,8.333333333333334,55.333333333333336,0.0,0.0,0.0,0.0,1.0,0.0,629341139.6983649,6459117.555555555,0.0,0.0,,0.0,8.333333333333334,129782.63680140178,0.0,0.0,,,1.0,9.333333333333334,129781.96487133393,27010.33333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27010.33333333333,0.0940928559293665,27010.33333333333,23.0,0.0,browsecomp,dylan,dylan,/home/lai/github/MAS_Analyzer_dylan/outputs_dylan_reproduce/dylan_gemma_30x3_T1_20260621/analysis_input/browsecomp/dylan,0.0,0.0
773,0.0,False,103782.74675809544,15356.333333333334,0.0,15.333333333333334,0.0,0.0,0.0,0.0,4.333333333333333,36.0,0.0,0.0,0.0,0.0,1.0,0.0,151827656.64550945,2175238.8888888885,0.0,0.0,,0.0,4.333333333333333,89307.06834793091,0.0,0.0,,,1.0,5.333333333333333,89306.91395232982,15356.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.666666666666668,0.0306666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15356.333333333334,0.0960430512320639,15356.333333333334,15.333333333333334,0.0,browsecomp,dylan,dylan,/home/lai/github/MAS_Analyzer_dylan/outputs_dylan_reproduce/dylan_gemma_30x3_T1_20260621/analysis_input/browsecomp/dylan,0.0,0.0
774,0.0,False,117319.8145459984,14079.333333333334,0.0,6.0,0.0,0.0,0.0,0.0,8.333333333333334,21.33333333333333,0.0,0.0,0.0,0.0,1.0,0.0,1724253887.295808,84755517.55555555,0.0,0.0,,0.0,8.333333333333334,79848.70680173238,0.0,0.0,,,1.0,9.333333333333334,79847.94591300063,14079.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14079.333333333334,0.653885789149548,14079.333333333334,6.0,0.0,browsecomp,dylan,dylan,/home/lai/github/MAS_Analyzer_dylan/outputs_dylan_reproduce/dylan_gemma_30x3_T1_20260621/analysis_input/browsecomp/dylan,0.0,0.0
775,0.0,False,650596.1665603827,68713.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,63096928849.67416,1505654548.222222,0.0,0.0,,0.0,7.0,455966.6341145833,0.0,0.0,,,1.0,8.0,455963.6284886631,68713.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68713.66666666667,0.5647022867577826,68713.66666666667,0.0,0.0,browsecomp,dylan,dylan,/home/lai/github/MAS_Analyzer_dylan/outputs_dylan_reproduce/dylan_gemma_30x3_T1_20260621/analysis_input/browsecomp/dylan,0.0,0.0
776,0.0,False,146193.47619589692,37319.0,0.0,25.0,0.0,0.0,0.0,0.0,9.0,60.0,0.0,0.0,0.0,0.0,1.0,0.0,134091055.47764029,15811406.0,0.0,0.0,,0.0,9.0,133171.47572835287,0.0,0.0,,,1.0,10.0,133170.8474370001,37319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37319.0,0.106550439973899,37319.0,25.0,0.0,browsecomp,dylan,dylan,/home/lai/github/MAS_Analyzer_dylan/outputs_dylan_reproduce/dylan_gemma_30x3_T1_20260621/analysis_input/browsecomp/dylan,0.0,0.0
778,0.0,False,78258.44879068936,25034.0,0.0,24.0,0.0,0.0,0.0,0.0,7.0,56.0,0.0,0.0,0.0,0.0,1.0,0.0,50065643.832288496,247118.0,0.0,0.0,,0.0,7.0,71389.4112110138,0.0,0.0,,,1.0,8.0,71389.07095233542,25034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25034.0,0.0198573797975914,25034.0,24.0,0.0,browsecomp,dylan,dylan,/home/lai/github/MAS_Analyzer_dylan/outputs_dylan_reproduce/dylan_gemma_30x3_T1_20260621/analysis_input/browsecomp/dylan,0.0,0.0
781,0.0,False,106328.82857490344,29154.666666666668,0.0,22.0,0.0,0.0,0.0,0.0,7.666666666666667,52.66666666666666,0.0,0.0,0.0,0.0,1.0,0.0,14471950.854669914,2870081.555555556,0.0,0.0,,0.0,7.666666666666667,103119.8521455129,0.0,0.0,,,1.0,8.666666666666666,103119.45766667728,29154.666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29154.666666666668,0.0581084161986609,29154.666666666668,22.0,0.0,browsecomp,dylan,dylan,/home/lai/github/MAS_Analyzer_dylan/outputs_dylan_reproduce/dylan_gemma_30x3_T1_20260621/analysis_input/browsecomp/dylan,0.0,0.0
