C1_latency_p95,C2_tokens_total,C3_cost_total,C4_tool_calls_total,C5_tool_error_rate,P1_steps_total,P2_backtrack_rate,P3_loop_score,P4_verification_density,Q1_success_rate,Q2_completion_rate,Q3_faithfulness,Q4_context_relevancy,R1_success_var,R2_latency_var,R3_tokens_var,benchmark,eval_avg_score,eval_success_rate,runs,stage_act_events,stage_act_latency_ms,stage_act_tokens,stage_act_tool_errors,stage_act_verify_density,stage_finalize_events,stage_finalize_latency_ms,stage_finalize_tokens,stage_finalize_tool_errors,stage_finalize_verify_density,stage_plan_events,stage_plan_latency_ms,stage_plan_tokens,stage_plan_tool_errors,stage_plan_verify_density,stage_retrieve_events,stage_retrieve_latency_ms,stage_retrieve_tokens,stage_retrieve_tool_errors,stage_retrieve_verify_density,stage_revise_events,stage_revise_latency_ms,stage_revise_tokens,stage_revise_tool_errors,stage_revise_verify_density,stage_verify_events,stage_verify_latency_ms,stage_verify_tokens,stage_verify_tool_errors,stage_verify_verify_density,task_id,topology,run_timestamp,run_dir
311255.30220807716,1774490.0,0.0,126.0,0.0,293.0,0.0102389078498293,0.0,0.0716723549488054,1.0,1.0,,,0.0,0.0,0.0,browsecomp,0.0,0.0,1,15.0,310977.30220807716,1774489.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,252.0,252.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,1.0,769,fully_linked_debate,20260304T220828Z,/Users/maoxunhuang/Desktop/MAS_Analyzer/outputs/browsecomp_all_topologies/20260304T215653Z/fully_linked_debate/20260304T220828Z
48889.818419177085,57168.0,0.0,44.0,0.0,129.0,0.0232558139534883,0.0,0.1627906976744186,1.0,1.0,,,0.0,0.0,0.0,browsecomp,0.0,0.0,1,15.0,48775.818419177085,57159.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,88.0,88.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,1.0,770,fully_linked_debate,20260304T220828Z,/Users/maoxunhuang/Desktop/MAS_Analyzer/outputs/browsecomp_all_topologies/20260304T215653Z/fully_linked_debate/20260304T220828Z
37569.286417070776,30653.0,0.0,40.0,0.0,121.0,0.024793388429752,0.0,0.1735537190082644,1.0,1.0,,,0.0,0.0,0.0,browsecomp,1.0,1.0,1,15.0,37463.286417070776,30605.0,0.0,0.0,1.0,1.0,48.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,1.0,771,fully_linked_debate,20260304T220828Z,/Users/maoxunhuang/Desktop/MAS_Analyzer/outputs/browsecomp_all_topologies/20260304T215653Z/fully_linked_debate/20260304T220828Z
254569.9936248958,755744.0,0.0,100.0,0.0,255.0,0.0196078431372549,0.0,0.1137254901960784,1.0,1.0,,,0.0,0.0,0.0,browsecomp,1.0,1.0,1,19.0,254333.9936248958,755540.0,0.0,0.0,1.0,1.0,204.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,1.0,769,group_chat_debate,20260304T221008Z,/Users/maoxunhuang/Desktop/MAS_Analyzer/outputs/browsecomp_all_topologies/20260304T215653Z/group_chat_debate/20260304T221008Z
55279.92400210351,58537.0,0.0,57.0,0.0,169.0,0.029585798816568,0.0,0.1715976331360946,1.0,1.0,,,0.0,0.0,0.0,browsecomp,0.0,0.0,1,19.0,55129.92400210351,58528.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,114.0,114.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,1.0,770,group_chat_debate,20260304T221008Z,/Users/maoxunhuang/Desktop/MAS_Analyzer/outputs/browsecomp_all_topologies/20260304T215653Z/group_chat_debate/20260304T221008Z
40207.47987354174,53925.0,0.0,52.0,0.0,159.0,0.0314465408805031,0.0,0.1823899371069182,1.0,1.0,,,0.0,0.0,0.0,browsecomp,0.0,0.0,1,19.0,40067.47987354174,53902.0,0.0,0.0,1.0,1.0,23.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,104.0,104.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,1.0,771,group_chat_debate,20260304T221008Z,/Users/maoxunhuang/Desktop/MAS_Analyzer/outputs/browsecomp_all_topologies/20260304T215653Z/group_chat_debate/20260304T221008Z
140086.75183417276,617164.0,0.0,40.0,0.0,95.0,0.0105263157894736,0.0,0.0736842105263157,1.0,1.0,,,0.0,0.0,0.0,browsecomp,0.0,0.0,1,5.0,139996.75183417276,617163.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,769,only_voting,20260304T220724Z,/Users/maoxunhuang/Desktop/MAS_Analyzer/outputs/browsecomp_all_topologies/20260304T215653Z/only_voting/20260304T220724Z
59960.58704177663,57616.0,0.0,21.0,0.0,57.0,0.0175438596491228,0.0,0.1228070175438596,1.0,1.0,,,0.0,0.0,0.0,browsecomp,0.0,0.0,1,5.0,59908.58704177663,57508.0,0.0,0.0,1.0,1.0,108.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,770,only_voting,20260304T220724Z,/Users/maoxunhuang/Desktop/MAS_Analyzer/outputs/browsecomp_all_topologies/20260304T215653Z/only_voting/20260304T220724Z
16761.973415240645,18680.0,0.0,10.0,0.0,35.0,0.0285714285714285,0.0,0.2,1.0,1.0,,,0.0,0.0,0.0,browsecomp,0.0,0.0,1,5.0,16731.973415240645,18628.0,0.0,0.0,1.0,1.0,52.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,771,only_voting,20260304T220724Z,/Users/maoxunhuang/Desktop/MAS_Analyzer/outputs/browsecomp_all_topologies/20260304T215653Z/only_voting/20260304T220724Z
112554.41445578636,570594.0,0.0,59.0,0.0,152.0,0.0263157894736842,0.0,0.1184210526315789,1.0,1.0,,,0.0,0.0,0.0,browsecomp,1.0,1.0,1,10.0,112412.41445578636,570577.0,0.0,0.0,1.0,1.0,17.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,118.0,118.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,1.0,769,orchestrator_no_discussion,20260304T220037Z,/Users/maoxunhuang/Desktop/MAS_Analyzer/outputs/browsecomp_all_topologies/20260304T215653Z/orchestrator_no_discussion/20260304T220037Z
